all wave.n.01 movement.n.03, no ending.n.04 movement.n.03: some-not wave.n.01 ending.n.04; all wave.n.01 ending.n.04
all print_media.n.01 medium.n.01, no system.n.01 medium.n.01: some-not print_media.n.01 system.n.01; all print_media.n.01 system.n.01
all annoyance.n.02 anger.n.01, no hate.n.01 anger.n.01: some-not annoyance.n.02 hate.n.01; all annoyance.n.02 hate.n.01
all sterilization.n.01 event.n.01, no singing.n.01 event.n.01: some-not sterilization.n.01 singing.n.01; all sterilization.n.01 singing.n.01
all appellation.n.01 name.n.01, no word.n.01 name.n.01: some-not appellation.n.01 word.n.01; all appellation.n.01 word.n.01
all nut.n.01 seed.n.01, no drupe.n.01 seed.n.01: some-not nut.n.01 drupe.n.01; all nut.n.01 drupe.n.01
all accommodation.n.04 living_quarters.n.01, no dwelling.n.01 living_quarters.n.01: some-not accommodation.n.04 dwelling.n.01; all accommodation.n.04 dwelling.n.01
all disciple.n.01 follower.n.01, no authority.n.02 follower.n.01: some-not disciple.n.01 authority.n.02; all disciple.n.01 authority.n.02
all sweetening.n.01 ingredient.n.03, no starches.n.01 ingredient.n.03: some-not sweetening.n.01 starches.n.01; all sweetening.n.01 starches.n.01
all pool.n.01 excavation.n.03, no fabric.n.01 excavation.n.03: some-not pool.n.01 fabric.n.01; all pool.n.01 fabric.n.01
all alkene.n.01 aliphatic_compound.n.01, no ester.n.01 aliphatic_compound.n.01: some-not alkene.n.01 ester.n.01; all alkene.n.01 ester.n.01
all caretaker.n.01 custodian.n.01, no keeper.n.01 custodian.n.01: some-not caretaker.n.01 keeper.n.01; all caretaker.n.01 keeper.n.01
all athenian.n.01 greek.n.02, no saxon.n.01 greek.n.02: some-not athenian.n.01 saxon.n.01; all athenian.n.01 saxon.n.01
all catalyst.n.01 activator.n.01, no mixture.n.01 activator.n.01: some-not catalyst.n.01 mixture.n.01; all catalyst.n.01 mixture.n.01
all destruction.n.01 termination.n.05, no improvement.n.02 termination.n.05: some-not destruction.n.01 improvement.n.02; all destruction.n.01 improvement.n.02
all viscountess.n.02 male_aristocrat.n.01, no prince.n.01 male_aristocrat.n.01: some-not viscountess.n.02 prince.n.01; all viscountess.n.02 prince.n.01
all rope.n.01 line.n.18, no commodity.n.01 line.n.18: some-not rope.n.01 commodity.n.01; all rope.n.01 commodity.n.01
all storehouse.n.01 facility.n.01, no sphere.n.02 facility.n.01: some-not storehouse.n.01 sphere.n.02; all storehouse.n.01 sphere.n.02
all science.n.01 knowledge_domain.n.01, no heresy.n.02 knowledge_domain.n.01: some-not science.n.01 heresy.n.02; all science.n.01 heresy.n.02
all lye.n.01 caustic.n.01, no hydroxide.n.01 caustic.n.01: some-not lye.n.01 hydroxide.n.01; all lye.n.01 hydroxide.n.01
all print_media.n.01 medium.n.01, no device.n.01 medium.n.01: some-not print_media.n.01 device.n.01; all print_media.n.01 device.n.01
all strip.n.05 building_material.n.01, no strip.n.02 building_material.n.01: some-not strip.n.05 strip.n.02; all strip.n.05 strip.n.02
all phospholipid.n.01 lipid.n.01, no protein.n.01 lipid.n.01: some-not phospholipid.n.01 protein.n.01; all phospholipid.n.01 protein.n.01
all analyst.n.03 specialist.n.02, no surgeon.n.01 specialist.n.02: some-not analyst.n.03 surgeon.n.01; all analyst.n.03 surgeon.n.01
all idea.n.01 cognition.n.01, no dancing.n.01 cognition.n.01: some-not idea.n.01 dancing.n.01; all idea.n.01 dancing.n.01
all play.n.17 psychological_feature.n.01, no attribute.n.02 psychological_feature.n.01: some-not play.n.17 attribute.n.02; all play.n.17 attribute.n.02
all southerner.n.01 american.n.01, no european.n.01 american.n.01: some-not southerner.n.01 european.n.01; all southerner.n.01 european.n.01
all cow.n.01 mammal.n.01, no bird.n.01 mammal.n.01: some-not cow.n.01 bird.n.01; all cow.n.01 bird.n.01
all contraception.n.01 preparation.n.01, no ceremony.n.03 preparation.n.01: some-not contraception.n.01 ceremony.n.03; all contraception.n.01 ceremony.n.03
all silversmith.n.01 jewelry_maker.n.01, no confectioner.n.01 jewelry_maker.n.01: some-not silversmith.n.01 confectioner.n.01; all silversmith.n.01 confectioner.n.01
all student.n.01 enrollee.n.01, no unfortunate.n.01 enrollee.n.01: some-not student.n.01 unfortunate.n.01; all student.n.01 unfortunate.n.01
all chamber.n.03 room.n.01, no enclosure.n.01 room.n.01: some-not chamber.n.03 enclosure.n.01; all chamber.n.03 enclosure.n.01
all brewery.n.01 building_complex.n.01, no building.n.01 building_complex.n.01: some-not brewery.n.01 building.n.01; all brewery.n.01 building.n.01
all content.n.05 psychological_feature.n.01, no attribute.n.02 psychological_feature.n.01: some-not content.n.05 attribute.n.02; all content.n.05 attribute.n.02
all possession.n.02 relation.n.01, no attribute.n.02 relation.n.01: some-not possession.n.02 attribute.n.02; all possession.n.02 attribute.n.02
all hadron.n.01 elementary_particle.n.01, no fermion.n.01 elementary_particle.n.01: some-not hadron.n.01 fermion.n.01; all hadron.n.01 fermion.n.01
all military_action.n.01 group_action.n.01, no touch.n.05 group_action.n.01: some-not military_action.n.01 touch.n.05; all military_action.n.01 touch.n.05
all businessman.n.01 capitalist.n.02, no judge.n.01 capitalist.n.02: some-not businessman.n.01 judge.n.01; all businessman.n.01 judge.n.01
all queen.n.03 female_aristocrat.n.01, no prince.n.01 female_aristocrat.n.01: some-not queen.n.03 prince.n.01; all queen.n.03 prince.n.01
all page.n.01 sheet.n.02, no card.n.01 sheet.n.02: some-not page.n.01 card.n.01; all page.n.01 card.n.01
all collaborator.n.03 peer.n.01, no sovereign.n.01 peer.n.01: some-not collaborator.n.03 sovereign.n.01; all collaborator.n.03 sovereign.n.01
all strip.n.05 building_material.n.01, no antiquity.n.03 building_material.n.01: some-not strip.n.05 antiquity.n.03; all strip.n.05 antiquity.n.03
all embarrassment.n.01 shame.n.01, no enthusiasm.n.01 shame.n.01: some-not embarrassment.n.01 enthusiasm.n.01; all embarrassment.n.01 enthusiasm.n.01
all spy.n.02 perceiver.n.01, no male.n.02 perceiver.n.01: some-not spy.n.02 male.n.02; all spy.n.02 male.n.02
all blood_disease.n.01 dyscrasia.n.01, no pathology.n.02 dyscrasia.n.01: some-not blood_disease.n.01 pathology.n.02; all blood_disease.n.01 pathology.n.02
all art.n.02 creation.n.01, no game.n.01 creation.n.01: some-not art.n.02 game.n.01; all art.n.02 game.n.01
all photograph.n.01 representation.n.02, no product.n.02 representation.n.02: some-not photograph.n.01 product.n.02; all photograph.n.01 product.n.02
all circle.n.08 rotating_mechanism.n.01, no control.n.09 rotating_mechanism.n.01: some-not circle.n.08 control.n.09; all circle.n.08 control.n.09
all soil.n.02 earth.n.02, no mineral.n.01 earth.n.02: some-not soil.n.02 mineral.n.01; all soil.n.02 mineral.n.01
all mishap.n.02 misfortune.n.01, no noise.n.03 misfortune.n.01: some-not mishap.n.02 noise.n.03; all mishap.n.02 noise.n.03
all peer.n.02 aristocrat.n.01, no headman.n.02 aristocrat.n.01: some-not peer.n.02 headman.n.02; all peer.n.02 headman.n.02
all annoyance.n.02 anger.n.01, no joy.n.01 anger.n.01: some-not annoyance.n.02 joy.n.01; all annoyance.n.02 joy.n.01
all rope.n.01 line.n.18, no fabric.n.01 line.n.18: some-not rope.n.01 fabric.n.01; all rope.n.01 fabric.n.01
all prize.n.01 transferred_property.n.01, no property.n.01 transferred_property.n.01: some-not prize.n.01 property.n.01; all prize.n.01 property.n.01
all vector.n.03 causal_agent.n.01, no agent.n.03 causal_agent.n.01: some-not vector.n.03 agent.n.03; all vector.n.03 agent.n.03
all lithographer.n.01 printmaker.n.01, no illustrator.n.01 printmaker.n.01: some-not lithographer.n.01 illustrator.n.01; all lithographer.n.01 illustrator.n.01
all part.n.01 relation.n.01, no attribute.n.02 relation.n.01: some-not part.n.01 attribute.n.02; all part.n.01 attribute.n.02
all activity.n.01 psychological_feature.n.01, no group.n.01 psychological_feature.n.01: some-not activity.n.01 group.n.01; all activity.n.01 group.n.01
all title.n.06 name.n.01, no morpheme.n.01 name.n.01: some-not title.n.06 morpheme.n.01; all title.n.06 morpheme.n.01
all noise.n.03 trouble.n.03, no failure.n.02 trouble.n.03: some-not noise.n.03 failure.n.02; all noise.n.03 failure.n.02
all photography.n.01 representation.n.10, no music.n.03 representation.n.10: some-not photography.n.01 music.n.03; all photography.n.01 music.n.03
all agent.n.01 causal_agent.n.01, no thing.n.12 causal_agent.n.01: some-not agent.n.01 thing.n.12; all agent.n.01 thing.n.12
all military_action.n.01 group_action.n.01, no activity.n.01 group_action.n.01: some-not military_action.n.01 activity.n.01; all military_action.n.01 activity.n.01
all possession.n.02 relation.n.01, no communication.n.02 relation.n.01: some-not possession.n.02 communication.n.02; all possession.n.02 communication.n.02
all lover.n.03 domestic_partner.n.01, no advocate.n.01 domestic_partner.n.01: some-not lover.n.03 advocate.n.01; all lover.n.03 advocate.n.01
all representational_process.n.01 process.n.02, no process.n.04 process.n.02: some-not representational_process.n.01 process.n.04; all representational_process.n.01 process.n.04
all animal_skin.n.01 animal_material.n.01, no mineral.n.01 animal_material.n.01: some-not animal_skin.n.01 mineral.n.01; all animal_skin.n.01 mineral.n.01
all alkene.n.01 aliphatic_compound.n.01, no alkaloid.n.01 aliphatic_compound.n.01: some-not alkene.n.01 alkaloid.n.01; all alkene.n.01 alkaloid.n.01
all report.n.02 informing.n.02, no request.n.02 informing.n.02: some-not report.n.02 request.n.02; all report.n.02 request.n.02
all preacher.n.01 spiritual_leader.n.01, no politician.n.02 spiritual_leader.n.01: some-not preacher.n.01 politician.n.02; all preacher.n.01 politician.n.02
all medical_practitioner.n.01 health_professional.n.01, no critic.n.01 health_professional.n.01: some-not medical_practitioner.n.01 critic.n.01; all medical_practitioner.n.01 critic.n.01
all cube.n.05 block.n.01, no commodity.n.01 block.n.01: some-not cube.n.05 commodity.n.01; all cube.n.05 commodity.n.01
all fight.n.02 conflict.n.01, no cooperation.n.01 conflict.n.01: some-not fight.n.02 cooperation.n.01; all fight.n.02 cooperation.n.01
all pool.n.01 excavation.n.03, no strip.n.02 excavation.n.03: some-not pool.n.01 strip.n.02; all pool.n.01 strip.n.02
all cutlery.n.02 article.n.02, no sphere.n.02 article.n.02: some-not cutlery.n.02 sphere.n.02; all cutlery.n.02 sphere.n.02
all hormone.n.01 body_substance.n.01, no medium.n.07 body_substance.n.01: some-not hormone.n.01 medium.n.07; all hormone.n.01 medium.n.07
all appellation.n.01 relation.n.01, no group.n.01 relation.n.01: some-not appellation.n.01 group.n.01; all appellation.n.01 group.n.01
all vector.n.03 causal_agent.n.01, no matter.n.03 causal_agent.n.01: some-not vector.n.03 matter.n.03; all vector.n.03 matter.n.03
all gift.n.01 transferred_property.n.01, no property.n.01 transferred_property.n.01: some-not gift.n.01 property.n.01; all gift.n.01 property.n.01
all spermatophyte.n.01 vascular_plant.n.01, no wilding.n.01 vascular_plant.n.01: some-not spermatophyte.n.01 wilding.n.01; all spermatophyte.n.01 wilding.n.01
all symptom.n.01 information.n.02, no process.n.04 information.n.02: some-not symptom.n.01 process.n.04; all symptom.n.01 process.n.04
all survival.n.03 continuance.n.01, no puncture.n.03 continuance.n.01: some-not survival.n.03 puncture.n.03; all survival.n.03 puncture.n.03
all plastic.n.01 solid.n.01, no coal.n.01 solid.n.01: some-not plastic.n.01 coal.n.01; all plastic.n.01 coal.n.01
all chemical_process.n.01 natural_process.n.01, no phenomenon.n.01 natural_process.n.01: some-not chemical_process.n.01 phenomenon.n.01; all chemical_process.n.01 phenomenon.n.01
all compassion.n.01 sympathy.n.02, no dislike.n.02 sympathy.n.02: some-not compassion.n.01 dislike.n.02; all compassion.n.01 dislike.n.02
all insect.n.01 invertebrate.n.01, no game.n.04 invertebrate.n.01: some-not insect.n.01 game.n.04; all insect.n.01 game.n.04
all nigerian.n.01 african.n.01, no pope.n.01 african.n.01: some-not nigerian.n.01 pope.n.01; all nigerian.n.01 pope.n.01
all highland.n.01 geological_formation.n.01, no land.n.02 geological_formation.n.01: some-not highland.n.01 land.n.02; all highland.n.01 land.n.02
all saboteur.n.01 destroyer.n.02, no libertine.n.01 destroyer.n.02: some-not saboteur.n.01 libertine.n.01; all saboteur.n.01 libertine.n.01
all transaction.n.01 group_action.n.01, no act.n.02 group_action.n.01: some-not transaction.n.01 act.n.02; all transaction.n.01 act.n.02
all loaf.n.02 solid.n.01, no sediment.n.01 solid.n.01: some-not loaf.n.02 sediment.n.01; all loaf.n.02 sediment.n.01
all document.n.01 written_communication.n.01, no language.n.01 written_communication.n.01: some-not document.n.01 language.n.01; all document.n.01 language.n.01
all comedienne.n.02 performer.n.01, no humorist.n.01 performer.n.01: some-not comedienne.n.02 humorist.n.01; all comedienne.n.02 humorist.n.01
all angiosperm.n.01 spermatophyte.n.01, no herb.n.01 spermatophyte.n.01: some-not angiosperm.n.01 herb.n.01; all angiosperm.n.01 herb.n.01
all cost.n.01 outgo.n.01, no loss.n.01 outgo.n.01: some-not cost.n.01 loss.n.01; all cost.n.01 loss.n.01
all produce.n.01 solid.n.01, no sediment.n.01 solid.n.01: some-not produce.n.01 sediment.n.01; all produce.n.01 sediment.n.01
all representation.n.02 creation.n.02, no commodity.n.01 creation.n.02: some-not representation.n.02 commodity.n.01; all representation.n.02 commodity.n.01
all wisdom.n.02 trait.n.01, no shape.n.02 trait.n.01: some-not wisdom.n.02 shape.n.02; all wisdom.n.02 shape.n.02
all cement.n.03 adhesive_material.n.01, no mineral.n.01 adhesive_material.n.01: some-not cement.n.03 mineral.n.01; all cement.n.03 mineral.n.01
