all medium.n.07 substance.n.01, all substance.n.01 entity.n.01: some medium.n.07 entity.n.01; no medium.n.07 entity.n.01
all metallic_element.n.01 substance.n.01, all substance.n.01 entity.n.01: some metallic_element.n.01 entity.n.01; no metallic_element.n.01 entity.n.01
all lover.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some lover.n.01 entity.n.01; no lover.n.01 entity.n.01
all language_unit.n.01 relation.n.01, all relation.n.01 entity.n.01: some language_unit.n.01 entity.n.01; no language_unit.n.01 entity.n.01
all linguist.n.01 person.n.01, all person.n.01 entity.n.01: some linguist.n.01 entity.n.01; no linguist.n.01 entity.n.01
all infestation.n.01 attribute.n.02, all attribute.n.02 entity.n.01: some infestation.n.01 entity.n.01; no infestation.n.01 entity.n.01
all matter.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some matter.n.03 entity.n.01; no matter.n.03 entity.n.01
all brass.n.02 instrumentality.n.03, all instrumentality.n.03 object.n.01: some brass.n.02 object.n.01; no brass.n.02 object.n.01
all saboteur.n.01 bad_person.n.01, all bad_person.n.01 physical_entity.n.01: some saboteur.n.01 physical_entity.n.01; no saboteur.n.01 physical_entity.n.01
all royalty.n.02 genealogy.n.01, all genealogy.n.01 abstraction.n.06: some royalty.n.02 abstraction.n.06; no royalty.n.02 abstraction.n.06
all control.n.09 object.n.01, all object.n.01 physical_entity.n.01: some control.n.09 physical_entity.n.01; no control.n.09 physical_entity.n.01
all manufacturer.n.02 creator.n.02, all creator.n.02 person.n.01: some manufacturer.n.02 person.n.01; no manufacturer.n.02 person.n.01
all whole.n.02 object.n.01, all object.n.01 entity.n.01: some whole.n.02 entity.n.01; no whole.n.02 entity.n.01
all departure.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some departure.n.01 abstraction.n.06; no departure.n.01 abstraction.n.06
all pigment.n.01 material.n.01, all material.n.01 entity.n.01: some pigment.n.01 entity.n.01; no pigment.n.01 entity.n.01
all writer.n.01 person.n.01, all person.n.01 entity.n.01: some writer.n.01 entity.n.01; no writer.n.01 entity.n.01
all event.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some event.n.01 entity.n.01; no event.n.01 entity.n.01
all event.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some event.n.01 abstraction.n.06; no event.n.01 abstraction.n.06
all building.n.01 structure.n.01, all structure.n.01 entity.n.01: some building.n.01 entity.n.01; no building.n.01 entity.n.01
all group.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some group.n.01 entity.n.01; no group.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all artifact.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some artifact.n.01 entity.n.01; no artifact.n.01 entity.n.01
all organic_compound.n.01 compound.n.02, all compound.n.02 chemical.n.01: some organic_compound.n.01 chemical.n.01; no organic_compound.n.01 chemical.n.01
all gesture.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some gesture.n.02 entity.n.01; no gesture.n.02 entity.n.01
all act.n.02 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some act.n.02 abstraction.n.06; no act.n.02 abstraction.n.06
all seller.n.01 businessperson.n.01, all businessperson.n.01 person.n.01: some seller.n.01 person.n.01; no seller.n.01 person.n.01
all sovereign.n.01 person.n.01, all person.n.01 physical_entity.n.01: some sovereign.n.01 physical_entity.n.01; no sovereign.n.01 physical_entity.n.01
all transaction.n.01 group_action.n.01, all group_action.n.01 psychological_feature.n.01: some transaction.n.01 psychological_feature.n.01; no transaction.n.01 psychological_feature.n.01
all alkaloid.n.01 compound.n.02, all compound.n.02 substance.n.01: some alkaloid.n.01 substance.n.01; no alkaloid.n.01 substance.n.01
all body_part.n.01 part.n.03, all part.n.03 entity.n.01: some body_part.n.01 entity.n.01; no body_part.n.01 entity.n.01
all loop.n.02 closed_curve.n.01, all closed_curve.n.01 shape.n.02: some loop.n.02 shape.n.02; no loop.n.02 shape.n.02
all writing.n.04 communication.n.02, all communication.n.02 entity.n.01: some writing.n.04 entity.n.01; no writing.n.04 entity.n.01
all weapon.n.01 instrument.n.01, all instrument.n.01 entity.n.01: some weapon.n.01 entity.n.01; no weapon.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all creation.n.02 whole.n.02, all whole.n.02 physical_entity.n.01: some creation.n.02 physical_entity.n.01; no creation.n.02 physical_entity.n.01
all sac.n.04 part.n.03, all part.n.03 entity.n.01: some sac.n.04 entity.n.01; no sac.n.04 entity.n.01
all shape.v.02 create_from_raw_material.v.01, all create_from_raw_material.v.01 make.v.03: some shape.v.02 make.v.03; no shape.v.02 make.v.03
all contestant.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some contestant.n.01 entity.n.01; no contestant.n.01 entity.n.01
all expressive_style.n.01 communication.n.02, all communication.n.02 entity.n.01: some expressive_style.n.01 entity.n.01; no expressive_style.n.01 entity.n.01
all activity.n.01 act.n.02, all act.n.02 abstraction.n.06: some activity.n.01 abstraction.n.06; no activity.n.01 abstraction.n.06
all mystic.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some mystic.n.01 entity.n.01; no mystic.n.01 entity.n.01
all list.n.01 database.n.01, all database.n.01 communication.n.02: some list.n.01 communication.n.02; no list.n.01 communication.n.02
all engineer.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some engineer.n.01 entity.n.01; no engineer.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all transferred_property.n.01 possession.n.02, all possession.n.02 entity.n.01: some transferred_property.n.01 entity.n.01; no transferred_property.n.01 entity.n.01
all possession.n.02 relation.n.01, all relation.n.01 entity.n.01: some possession.n.02 entity.n.01; no possession.n.02 entity.n.01
all alkene.n.01 aliphatic_compound.n.01, all aliphatic_compound.n.01 organic_compound.n.01: some alkene.n.01 organic_compound.n.01; no alkene.n.01 organic_compound.n.01
all suffragist.n.01 person.n.01, all person.n.01 entity.n.01: some suffragist.n.01 entity.n.01; no suffragist.n.01 entity.n.01
all material.n.01 substance.n.01, all substance.n.01 entity.n.01: some material.n.01 entity.n.01; no material.n.01 entity.n.01
all creator.n.02 person.n.01, all person.n.01 entity.n.01: some creator.n.02 entity.n.01; no creator.n.02 entity.n.01
all handle.n.01 appendage.n.03, all appendage.n.03 physical_entity.n.01: some handle.n.01 physical_entity.n.01; no handle.n.01 physical_entity.n.01
all modifier.n.01 part.n.01, all part.n.01 relation.n.01: some modifier.n.01 relation.n.01; no modifier.n.01 relation.n.01
all artifact.n.01 object.n.01, all object.n.01 physical_entity.n.01: some artifact.n.01 physical_entity.n.01; no artifact.n.01 physical_entity.n.01
all slave.n.01 person.n.01, all person.n.01 entity.n.01: some slave.n.01 entity.n.01; no slave.n.01 entity.n.01
all lover.n.03 domestic_partner.n.01, all domestic_partner.n.01 person.n.01: some lover.n.03 person.n.01; no lover.n.03 person.n.01
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some object.n.01 entity.n.01; no object.n.01 entity.n.01
all magnet.n.01 device.n.01, all device.n.01 physical_entity.n.01: some magnet.n.01 physical_entity.n.01; no magnet.n.01 physical_entity.n.01
all written_communication.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some written_communication.n.01 entity.n.01; no written_communication.n.01 entity.n.01
all softener.n.01 chemical.n.01, all chemical.n.01 entity.n.01: some softener.n.01 entity.n.01; no softener.n.01 entity.n.01
all orientation.n.02 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: some orientation.n.02 entity.n.01; no orientation.n.02 entity.n.01
all vector.n.03 causal_agent.n.01, all causal_agent.n.01 entity.n.01: some vector.n.03 entity.n.01; no vector.n.03 entity.n.01
all prospector.n.01 miner.n.01, all miner.n.01 workman.n.01: some prospector.n.01 workman.n.01; no prospector.n.01 workman.n.01
all implement.n.01 instrumentality.n.03, all instrumentality.n.03 artifact.n.01: some implement.n.01 artifact.n.01; no implement.n.01 artifact.n.01
all land.n.04 object.n.01, all object.n.01 physical_entity.n.01: some land.n.04 physical_entity.n.01; no land.n.04 physical_entity.n.01
all agent.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some agent.n.03 entity.n.01; no agent.n.03 entity.n.01
all attribute.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some attribute.n.02 entity.n.01; no attribute.n.02 entity.n.01
all jumper.n.02 contestant.n.01, all contestant.n.01 person.n.01: some jumper.n.02 person.n.01; no jumper.n.02 person.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all cut.v.01 separate.v.02, all separate.v.02 move.v.02: some cut.v.01 move.v.02; no cut.v.01 move.v.02
all loss.n.03 failure.n.01, all failure.n.01 abstraction.n.06: some loss.n.03 abstraction.n.06; no loss.n.03 abstraction.n.06
all array.n.01 group.n.01, all group.n.01 entity.n.01: some array.n.01 entity.n.01; no array.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all artifact.n.01 whole.n.02, all whole.n.02 entity.n.01: some artifact.n.01 entity.n.01; no artifact.n.01 entity.n.01
all terrorist.n.01 person.n.01, all person.n.01 physical_entity.n.01: some terrorist.n.01 physical_entity.n.01; no terrorist.n.01 physical_entity.n.01
all herb.n.01 organism.n.01, all organism.n.01 object.n.01: some herb.n.01 object.n.01; no herb.n.01 object.n.01
all critic.n.01 person.n.01, all person.n.01 entity.n.01: some critic.n.01 entity.n.01; no critic.n.01 entity.n.01
all activity.n.01 event.n.01, all event.n.01 abstraction.n.06: some activity.n.01 abstraction.n.06; no activity.n.01 abstraction.n.06
all heating.n.01 natural_process.n.01, all natural_process.n.01 process.n.06: some heating.n.01 process.n.06; no heating.n.01 process.n.06
all principality.n.01 domain.n.02, all domain.n.02 object.n.01: some principality.n.01 object.n.01; no principality.n.01 object.n.01
all skilled_worker.n.01 person.n.01, all person.n.01 physical_entity.n.01: some skilled_worker.n.01 physical_entity.n.01; no skilled_worker.n.01 physical_entity.n.01
all natural_process.n.01 process.n.06, all process.n.06 physical_entity.n.01: some natural_process.n.01 physical_entity.n.01; no natural_process.n.01 physical_entity.n.01
