all disgust.n.01 part.n.02, some-not disgust.n.01 dislike.n.02: some-not part.n.02 dislike.n.02; all part.n.02 dislike.n.02
all manufacturer.n.02 disrespect.n.01, some-not manufacturer.n.02 maker.n.01: some-not disrespect.n.01 maker.n.01; all disrespect.n.01 maker.n.01
all carthaginian.n.01 anticoagulant.n.01, some-not carthaginian.n.01 african.n.01: some-not anticoagulant.n.01 african.n.01; all anticoagulant.n.01 african.n.01
all saying.n.01 compound.n.02, some-not saying.n.01 auditory_communication.n.01: some-not compound.n.02 auditory_communication.n.01; all compound.n.02 auditory_communication.n.01
all circle.n.08 scientist.n.01, some-not circle.n.08 rotating_mechanism.n.01: some-not scientist.n.01 rotating_mechanism.n.01; all scientist.n.01 rotating_mechanism.n.01
all economist.n.01 act.n.02, some-not economist.n.01 social_scientist.n.01: some-not act.n.02 social_scientist.n.01; all act.n.02 social_scientist.n.01
all system.n.06 animal.n.01, some-not system.n.06 body_part.n.01: some-not animal.n.01 body_part.n.01; all animal.n.01 body_part.n.01
all forestry.n.01 musician.n.02, some-not forestry.n.01 biology.n.01: some-not musician.n.02 biology.n.01; all musician.n.02 biology.n.01
all product.n.02 keeper.n.01, some-not product.n.02 artifact.n.01: some-not keeper.n.01 artifact.n.01; all keeper.n.01 artifact.n.01
all customer.n.01 agent.n.01, some-not customer.n.01 consumer.n.01: some-not agent.n.01 consumer.n.01; all agent.n.01 consumer.n.01
all saint.n.01 create.v.03, some-not saint.n.01 deity.n.01: some-not create.v.03 deity.n.01; all create.v.03 deity.n.01
all antidote.n.01 whole.n.02, some-not antidote.n.01 remedy.n.02: some-not whole.n.02 remedy.n.02; all whole.n.02 remedy.n.02
all saint.n.02 whole.n.02, some-not saint.n.02 good_person.n.01: some-not whole.n.02 good_person.n.01; all whole.n.02 good_person.n.01
all digit.n.03 device.n.01, some-not digit.n.03 extremity.n.01: some-not device.n.01 extremity.n.01; all device.n.01 extremity.n.01
all polysaccharide.n.01 speaker.n.01, some-not polysaccharide.n.01 carbohydrate.n.01: some-not speaker.n.01 carbohydrate.n.01; all speaker.n.01 carbohydrate.n.01
all forestry.n.01 songwriter.n.01, some-not forestry.n.01 biology.n.01: some-not songwriter.n.01 biology.n.01; all songwriter.n.01 biology.n.01
all jew.n.01 object.n.01, some-not jew.n.01 person.n.01: some-not object.n.01 person.n.01; all object.n.01 person.n.01
all cassette.n.01 act.n.02, some-not cassette.n.01 container.n.01: some-not act.n.02 container.n.01; all act.n.02 container.n.01
all reverence.n.03 instrumentality.n.03, some-not reverence.n.03 action.n.01: some-not instrumentality.n.03 action.n.01; all instrumentality.n.03 action.n.01
all interest.n.03 entity.n.01, some-not interest.n.03 power.n.01: some-not entity.n.01 power.n.01; all entity.n.01 power.n.01
all sing.v.02 event.n.01, some-not sing.v.02 talk.v.02: some-not event.n.01 talk.v.02; all event.n.01 talk.v.02
all architect.n.01 drug.n.01, some-not architect.n.01 creator.n.02: some-not drug.n.01 creator.n.02; all drug.n.01 creator.n.02
all eruption.n.02 artifact.n.01, some-not eruption.n.02 symptom.n.01: some-not artifact.n.01 symptom.n.01; all artifact.n.01 symptom.n.01
all horse.n.01 arrangement.n.02, some-not horse.n.01 equine.n.01: some-not arrangement.n.02 equine.n.01; all arrangement.n.02 equine.n.01
all storm.n.01 person.n.01, some-not storm.n.01 atmospheric_phenomenon.n.01: some-not person.n.01 atmospheric_phenomenon.n.01; all person.n.01 atmospheric_phenomenon.n.01
all force.n.04 act.n.02, some-not force.n.04 organization.n.01: some-not act.n.02 organization.n.01; all act.n.02 organization.n.01
all dance.n.01 resin.n.01, some-not dance.n.01 art.n.01: some-not resin.n.01 art.n.01; all resin.n.01 art.n.01
all aviator.n.01 physical_entity.n.01, some-not aviator.n.01 skilled_worker.n.01: some-not physical_entity.n.01 skilled_worker.n.01; all physical_entity.n.01 skilled_worker.n.01
all magnet.n.01 location.n.01, some-not magnet.n.01 device.n.01: some-not location.n.01 device.n.01; all location.n.01 device.n.01
all propagandist.n.01 material.n.01, some-not propagandist.n.01 communicator.n.01: some-not material.n.01 communicator.n.01; all material.n.01 communicator.n.01
all jew.n.01 object.n.01, some-not jew.n.01 person.n.01: some-not object.n.01 person.n.01; all object.n.01 person.n.01
all carbon.n.01 person.n.01, some-not carbon.n.01 chemical_element.n.01: some-not person.n.01 chemical_element.n.01; all person.n.01 chemical_element.n.01
all silversmith.n.01 anthropologist.n.01, some-not silversmith.n.01 jewelry_maker.n.01: some-not anthropologist.n.01 jewelry_maker.n.01; all anthropologist.n.01 jewelry_maker.n.01
all homo.n.02 vinyl_polymer.n.01, some-not homo.n.02 hominid.n.01: some-not vinyl_polymer.n.01 hominid.n.01; all vinyl_polymer.n.01 hominid.n.01
all preacher.n.01 remedy.n.02, some-not preacher.n.01 clergyman.n.01: some-not remedy.n.02 clergyman.n.01; all remedy.n.02 clergyman.n.01
all dislike.n.02 person.n.01, some-not dislike.n.02 feeling.n.01: some-not person.n.01 feeling.n.01; all person.n.01 feeling.n.01
all copy.n.02 person.n.01, some-not copy.n.02 representation.n.02: some-not person.n.01 representation.n.02; all person.n.01 representation.n.02
all apostle.n.03 fare.n.04, some-not apostle.n.03 person.n.01: some-not fare.n.04 person.n.01; all fare.n.04 person.n.01
all abolitionist.n.01 entity.n.01, some-not abolitionist.n.01 reformer.n.01: some-not entity.n.01 reformer.n.01; all entity.n.01 reformer.n.01
all acknowledgment.n.03 substance.n.01, some-not acknowledgment.n.03 message.n.02: some-not substance.n.01 message.n.02; all substance.n.01 message.n.02
all libertine.n.01 physical_entity.n.01, some-not libertine.n.01 bad_person.n.01: some-not physical_entity.n.01 bad_person.n.01; all physical_entity.n.01 bad_person.n.01
all musician.n.01 physical_entity.n.01, some-not musician.n.01 performer.n.01: some-not physical_entity.n.01 performer.n.01; all physical_entity.n.01 performer.n.01
all sheet.n.06 defender.n.01, some-not sheet.n.06 artifact.n.01: some-not defender.n.01 artifact.n.01; all defender.n.01 artifact.n.01
all commodity.n.01 entity.n.01, some-not commodity.n.01 artifact.n.01: some-not entity.n.01 artifact.n.01; all entity.n.01 artifact.n.01
all beginning.n.05 salesperson.n.01, some-not beginning.n.05 change_of_state.n.01: some-not salesperson.n.01 change_of_state.n.01; all salesperson.n.01 change_of_state.n.01
all board.n.03 entity.n.01, some-not board.n.03 sheet.n.06: some-not entity.n.01 sheet.n.06; all entity.n.01 sheet.n.06
all grain.n.02 psychological_feature.n.01, some-not grain.n.02 food.n.01: some-not psychological_feature.n.01 food.n.01; all psychological_feature.n.01 food.n.01
all comedian.n.01 worker.n.01, some-not comedian.n.01 performer.n.01: some-not worker.n.01 performer.n.01; all worker.n.01 performer.n.01
all colony.n.01 support.n.10, some-not colony.n.01 body.n.02: some-not support.n.10 body.n.02; all support.n.10 body.n.02
all reflex.n.01 physical_entity.n.01, some-not reflex.n.01 reaction.n.03: some-not physical_entity.n.01 reaction.n.03; all physical_entity.n.01 reaction.n.03
all england.n.01 cassette.n.01, some-not england.n.01 european_country.n.01: some-not cassette.n.01 european_country.n.01; all cassette.n.01 european_country.n.01
all tenant.n.01 entity.n.01, some-not tenant.n.01 payer.n.01: some-not entity.n.01 payer.n.01; all entity.n.01 payer.n.01
all cassette.n.01 event.n.01, some-not cassette.n.01 container.n.01: some-not event.n.01 container.n.01; all event.n.01 container.n.01
all plate.n.02 perturbation.n.02, some-not plate.n.02 sheet.n.06: some-not perturbation.n.02 sheet.n.06; all perturbation.n.02 sheet.n.06
all grain.n.02 neuroscience.n.01, some-not grain.n.02 foodstuff.n.02: some-not neuroscience.n.01 foodstuff.n.02; all neuroscience.n.01 foodstuff.n.02
all component.n.03 worship.n.01, some-not component.n.03 part.n.02: some-not worship.n.01 part.n.02; all worship.n.01 part.n.02
all blind.n.03 precipitation.n.03, some-not blind.n.03 protective_covering.n.01: some-not precipitation.n.03 protective_covering.n.01; all precipitation.n.03 protective_covering.n.01
all inventor.n.01 physical_entity.n.01, some-not inventor.n.01 creator.n.02: some-not physical_entity.n.01 creator.n.02; all physical_entity.n.01 creator.n.02
all soldier.n.01 physical_entity.n.01, some-not soldier.n.01 enlisted_person.n.01: some-not physical_entity.n.01 enlisted_person.n.01; all physical_entity.n.01 enlisted_person.n.01
all egyptologist.n.01 leader.n.01, some-not egyptologist.n.01 archeologist.n.01: some-not leader.n.01 archeologist.n.01; all leader.n.01 archeologist.n.01
all music.n.03 weapon.n.01, some-not music.n.03 activity.n.01: some-not weapon.n.01 activity.n.01; all weapon.n.01 activity.n.01
all nigerian.n.01 entity.n.01, some-not nigerian.n.01 african.n.01: some-not entity.n.01 african.n.01; all entity.n.01 african.n.01
all covering.n.01 physical_entity.n.01, some-not covering.n.01 natural_object.n.01: some-not physical_entity.n.01 natural_object.n.01; all physical_entity.n.01 natural_object.n.01
all implement.n.01 person.n.01, some-not implement.n.01 instrumentality.n.03: some-not person.n.01 instrumentality.n.03; all person.n.01 instrumentality.n.03
all fuel.n.01 end.v.02, some-not fuel.n.01 substance.n.07: some-not end.v.02 substance.n.07; all end.v.02 substance.n.07
all preacher.n.01 entity.n.01, some-not preacher.n.01 clergyman.n.01: some-not entity.n.01 clergyman.n.01; all entity.n.01 clergyman.n.01
all toiletry.n.01 person.n.01, some-not toiletry.n.01 instrumentality.n.03: some-not person.n.01 instrumentality.n.03; all person.n.01 instrumentality.n.03
all dancing.n.01 abstraction.n.06, some-not dancing.n.01 psychological_feature.n.01: some-not abstraction.n.06 psychological_feature.n.01; all abstraction.n.06 psychological_feature.n.01
all apache.n.01 person.n.01, some-not apache.n.01 athapaskan.n.01: some-not person.n.01 athapaskan.n.01; all person.n.01 athapaskan.n.01
all disrespect.n.01 artist.n.01, some-not disrespect.n.01 message.n.02: some-not artist.n.01 message.n.02; all artist.n.01 message.n.02
all collaborator.n.03 entity.n.01, some-not collaborator.n.03 associate.n.01: some-not entity.n.01 associate.n.01; all entity.n.01 associate.n.01
all sterilization.n.01 advocate.n.01, some-not sterilization.n.01 operation.n.06: some-not advocate.n.01 operation.n.06; all advocate.n.01 operation.n.06
all collection.n.01 whole.n.02, some-not collection.n.01 group.n.01: some-not whole.n.02 group.n.01; all whole.n.02 group.n.01
all heading.n.01 entity.n.01, some-not heading.n.01 line.n.05: some-not entity.n.01 line.n.05; all entity.n.01 line.n.05
all beginning.n.05 worker.n.01, some-not beginning.n.05 change_of_state.n.01: some-not worker.n.01 change_of_state.n.01; all worker.n.01 change_of_state.n.01
all arab.n.01 matter.n.03, some-not arab.n.01 semite.n.01: some-not matter.n.03 semite.n.01; all matter.n.03 semite.n.01
all dislike.n.02 lady.n.01, some-not dislike.n.02 feeling.n.01: some-not lady.n.01 feeling.n.01; all lady.n.01 feeling.n.01
all comedienne.n.02 abstraction.n.06, some-not comedienne.n.02 comedian.n.01: some-not abstraction.n.06 comedian.n.01; all abstraction.n.06 comedian.n.01
all anger.n.01 artifact.n.01, some-not anger.n.01 emotion.n.01: some-not artifact.n.01 emotion.n.01; all artifact.n.01 emotion.n.01
all medicine.n.02 physical_entity.n.01, some-not medicine.n.02 drug.n.01: some-not physical_entity.n.01 drug.n.01; all physical_entity.n.01 drug.n.01
all spear.n.01 sedative.n.01, some-not spear.n.01 weapon.n.01: some-not sedative.n.01 weapon.n.01; all sedative.n.01 weapon.n.01
all christian.n.01 entity.n.01, some-not christian.n.01 religious_person.n.01: some-not entity.n.01 religious_person.n.01; all entity.n.01 religious_person.n.01
all force.n.04 event.n.01, some-not force.n.04 organization.n.01: some-not event.n.01 organization.n.01; all event.n.01 organization.n.01
all product.n.02 defender.n.01, some-not product.n.02 artifact.n.01: some-not defender.n.01 artifact.n.01; all defender.n.01 artifact.n.01
all food.n.01 machine.n.01, some-not food.n.01 substance.n.07: some-not machine.n.01 substance.n.07; all machine.n.01 substance.n.07
all instrumentality.n.03 physical_entity.n.01, some-not instrumentality.n.03 artifact.n.01: some-not physical_entity.n.01 artifact.n.01; all physical_entity.n.01 artifact.n.01
all copy.n.02 scientist.n.01, some-not copy.n.02 representation.n.02: some-not scientist.n.01 representation.n.02; all scientist.n.01 representation.n.02
all righteousness.n.01 compound.n.02, some-not righteousness.n.01 morality.n.01: some-not compound.n.02 morality.n.01; all compound.n.02 morality.n.01
all sculptor.n.01 pathological_state.n.01, some-not sculptor.n.01 artist.n.01: some-not pathological_state.n.01 artist.n.01; all pathological_state.n.01 artist.n.01
all revival.n.01 person.n.01, some-not revival.n.01 improvement.n.01: some-not person.n.01 improvement.n.01; all person.n.01 improvement.n.01
all soldier.n.01 physical_entity.n.01, some-not soldier.n.01 enlisted_person.n.01: some-not physical_entity.n.01 enlisted_person.n.01; all physical_entity.n.01 enlisted_person.n.01
all singing.n.01 land.n.04, some-not singing.n.01 psychological_feature.n.01: some-not land.n.04 psychological_feature.n.01; all land.n.04 psychological_feature.n.01
all economist.n.01 sport.n.01, some-not economist.n.01 social_scientist.n.01: some-not sport.n.01 social_scientist.n.01; all sport.n.01 social_scientist.n.01
all boardroom.n.01 molecule.n.01, some-not boardroom.n.01 room.n.01: some-not molecule.n.01 room.n.01; all molecule.n.01 room.n.01
all prison.n.01 pollutant.n.01, some-not prison.n.01 correctional_institution.n.01: some-not pollutant.n.01 correctional_institution.n.01; all pollutant.n.01 correctional_institution.n.01
all enjoyment.n.01 physical_entity.n.01, some-not enjoyment.n.01 pleasure.n.01: some-not physical_entity.n.01 pleasure.n.01; all physical_entity.n.01 pleasure.n.01
all archbishop.n.01 part.n.01, some-not archbishop.n.01 bishop.n.01: some-not part.n.01 bishop.n.01; all part.n.01 bishop.n.01
all slave.n.01 entertainer.n.01, some-not slave.n.01 person.n.01: some-not entertainer.n.01 person.n.01; all entertainer.n.01 person.n.01
all pollutant.n.01 entity.n.01, some-not pollutant.n.01 waste.n.01: some-not entity.n.01 waste.n.01; all entity.n.01 waste.n.01
all spear.n.01 entity.n.01, some-not spear.n.01 weapon.n.01: some-not entity.n.01 weapon.n.01; all entity.n.01 weapon.n.01
all fuel.n.01 change.v.01, some-not fuel.n.01 substance.n.07: some-not change.v.01 substance.n.07; all change.v.01 substance.n.07
all beryl.n.01 entity.n.01, some-not beryl.n.01 mineral.n.01: some-not entity.n.01 mineral.n.01; all entity.n.01 mineral.n.01
all lexicographer.n.01 physical_entity.n.01, some-not lexicographer.n.01 person.n.01: some-not physical_entity.n.01 person.n.01; all physical_entity.n.01 person.n.01
all sweater.n.01 person.n.01, some-not sweater.n.01 garment.n.01: some-not person.n.01 garment.n.01; all person.n.01 garment.n.01
all killer.n.01 pilot.n.01, some-not killer.n.01 person.n.01: some-not pilot.n.01 person.n.01; all pilot.n.01 person.n.01
all nebula.n.03 army_unit.n.01, some-not nebula.n.03 cloud.n.01: some-not army_unit.n.01 cloud.n.01; all army_unit.n.01 cloud.n.01
all jazz.n.02 entity.n.01, some-not jazz.n.02 popular_music.n.01: some-not entity.n.01 popular_music.n.01; all entity.n.01 popular_music.n.01
all prospector.n.01 physical_entity.n.01, some-not prospector.n.01 laborer.n.01: some-not physical_entity.n.01 laborer.n.01; all physical_entity.n.01 laborer.n.01
